"","Gamma","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"16","One",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"17","One",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"18","One",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.14711819401997,0.535714285714286,0.498624481575437
"19","One",0,0.221071769506482,0.362851818248537,0.344905872070474,0.368707180952648,0.192700448855987,0.535714285714286,0.498624481575437
"20","One",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"21","One",0,0.110535884753241,0.362851818248537,0.336285606751446,0.368707180952648,0.182465762064353,0.535714285714286,0.498624481575437
"22","One",0,0.0552679423766206,0.507992545547952,0.285721745278916,0.33872251475047,0.313017790232922,0.571428571428571,0.474631146549323
"23","One",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"24","One",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"25","One",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"26","One",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019972,0.535714285714286,0.498624481575437
"27","One",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"28","One",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
